V : 19 // D : 31 // Nul : 0
V : 2451 // D : 2544 // Nul : 5
V : 2487 // D : 2508 // Nul : 5
V : 2497 // D : 2497 // Nul : 6
V : 2519 // D : 2477 // Nul : 4
V : 4896 // D : 5099 // Nul : 5
V : 48 // D : 52 // Nul : 0
V : 242 // D : 258 // Nul : 0
V : 243 // D : 257 // Nul : 0
V : 254 // D : 246 // Nul : 0
V : 241 // D : 259 // Nul : 0
V : 234 // D : 265 // Nul : 1
V : 24636 // D : 25329 // Nul : 35
V : 28 // D : 22 // Nul : 0
V : 26 // D : 24 // Nul : 0
V : 23 // D : 27 // Nul : 0
---------Ajout d'une sauvegarde du reseau neuronal---------
V : 23 // D : 27 // Nul : 0
V : 24 // D : 26 // Nul : 0
V : 24 // D : 26 // Nul : 0
V : 22 // D : 27 // Nul : 1
V : 269 // D : 231 // Nul : 0
V : 247 // D : 251 // Nul : 2
V : 267 // D : 233 // Nul : 0
V : 251 // D : 249 // Nul : 0
V : 248 // D : 252 // Nul : 0
V : 253 // D : 247 // Nul : 0
V : 247 // D : 253 // Nul : 0
V : 262 // D : 238 // Nul : 0
V : 248 // D : 251 // Nul : 1
---Passage a 64 neurones---
V : 241 // D : 258 // Nul : 1
V : 103 // D : 97 // Nul : 0
V : 97 // D : 103 // Nul : 0
V : 965 // D : 1033 // Nul : 2
V : 988 // D : 1011 // Nul : 1
V : 9932 // D : 10057 // Nul : 11
V : 9954 // D : 10035 // Nul : 11
V : 9893 // D : 10096 // Nul : 11
V : 9968 // D : 10016 // Nul : 16// Win Rate : 0.4984
V : 9876 // D : 10112 // Nul : 12 // Win Rate : 0.4938
V : 9785 // D : 10196 // Nul : 19 // Win Rate : 0.48925
V : 9962 // D : 10029 // Nul : 9 // Win Rate : 0.4981
V : 9994 // D : 9992 // Nul : 14 // Win Rate : 0.4997
V : 9897 // D : 10094 // Nul : 9 // Win Rate : 0.49485
V : 9920 // D : 10070 // Nul : 10 // Win Rate : 0.496
V : 10060 // D : 9927 // Nul : 13 // Win Rate : 0.503
V : 9879 // D : 10108 // Nul : 13 // Win Rate : 0.49395
V : 0 // D : 1 // Nul : 0 // Win Rate : 0.0
V : 1 // D : 0 // Nul : 0 // Win Rate : 1.0
V : 1 // D : 0 // Nul : 0 // Win Rate : 1.0
V : 9862 // D : 10126 // Nul : 12 // Win Rate : 0.4931
V : 9862 // D : 10126 // Nul : 12 // Win Rate : 0.4931
V : 9862 // D : 10126 // Nul : 12 // Win Rate : 0.4931
V : 170 // D : 30 // Nul : 0 // Win Rate : 0.85
V : 1658 // D : 342 // Nul : 0 // Win Rate : 0.829
V : 0 // D : 2 // Nul : 0 // Win Rate : 0.0
V : 0 // D : 2 // Nul : 0 // Win Rate : 0.0
V : 0 // D : 2 // Nul : 0 // Win Rate : 0.0
V : 0 // D : 2 // Nul : 0 // Win Rate : 0.0
V : 1 // D : 1 // Nul : 0 // Win Rate : 0.5
V : 164 // D : 36 // Nul : 0 // Win Rate : 0.82
V : 161 // D : 39 // Nul : 0 // Win Rate : 0.805
V : 169 // D : 31 // Nul : 0 // Win Rate : 0.845
V : 16 // D : 4 // Nul : 0 // Win Rate : 0.8
V : 14 // D : 6 // Nul : 0 // Win Rate : 0.7
V : 14 // D : 6 // Nul : 0 // Win Rate : 0.7
V : 17 // D : 3 // Nul : 0 // Win Rate : 0.85
V : 18 // D : 2 // Nul : 0 // Win Rate : 0.9
V : 15 // D : 5 // Nul : 0 // Win Rate : 0.75
V : 15 // D : 5 // Nul : 0 // Win Rate : 0.75
V : 16 // D : 4 // Nul : 0 // Win Rate : 0.8
V : 15 // D : 5 // Nul : 0 // Win Rate : 0.75
V : 11 // D : 9 // Nul : 0 // Win Rate : 0.55
V : 11 // D : 9 // Nul : 0 // Win Rate : 0.55
V : 102 // D : 97 // Nul : 1 // Win Rate : 0.51
V : 102 // D : 97 // Nul : 1 // Win Rate : 0.51
V : 129 // D : 71 // Nul : 0 // Win Rate : 0.645
V : 126 // D : 74 // Nul : 0 // Win Rate : 0.63
